mileage_google_review_grouped_engine_family,,,,,,,,,,,,,,,,,,,
make,model,fuel,transmission,transmissionSubtype,engineFamily,count,sampleVariants,googleQuery1,googleQuery2,googleQuery3,googleQuery4,googleQuery5,evidenceValue,evidenceBasis,sourceName,sourceUrl,decision,note,variantProfileKeys
Kia,Seltos,Diesel,Automatic,AT,114bhp_250nm_diesel,9,Kia Seltos GTX A Diesel AT | Kia Seltos GTX Diesel AT | Kia Seltos HTE Opt Diesel AT | Kia Seltos HTK Diesel AT | Kia Seltos HTK Opt Diesel AT | Kia Seltos HTX A Diesel AT | Kia Seltos HTX Diesel AT | Kia Seltos X-Line A Diesel AT,"""Kia Seltos"" Diesel AT ARAI mileage","""Kia Seltos"" 114bhp 250nm diesel claimed mileage kmpl","""Kia Seltos"" Diesel AT brochure mileage","""Kia Seltos"" Diesel AT site:v3cars.com mileage","""Kia Seltos"" Diesel AT site:carwale.com mileage",19.1,,,https://www.cardekho.com/india-car-news/heres-how-fuel-efficient-the-facelifted-kia-seltos-is-31186.htm,,,kia_seltos__gtx-a-diesel-at__diesel_automatic | kia_seltos__gtx-diesel-at__diesel_automatic | kia_seltos__hte-opt-diesel-at__diesel_automatic | kia_seltos__htk-diesel-at__diesel_automatic | kia_seltos__htk-opt-diesel-at__diesel_automatic | kia_seltos__htx-a-diesel-at__diesel_automatic | kia_seltos__htx-diesel-at__diesel_automatic | kia_seltos__x-line-a-diesel-at__diesel_automatic | kia_seltos__x-line-diesel-at__diesel_automatic
Mahindra,Xuv 7xo,Diesel,Automatic,AT,182.37bhp_450nm_diesel,9,Mahindra Xuv 7Xo AX3 Diesel AT | Mahindra Xuv 7Xo AX5 Diesel AT | Mahindra Xuv 7Xo AX7 Diesel AT | Mahindra Xuv 7Xo AX7L 6Str Diesel AT | Mahindra Xuv 7Xo AX7L Diesel AT | Mahindra Xuv 7Xo AX7L Diesel AWD AT | Mahindra Xuv 7Xo AX7T 6Str Diesel AT | Mahindra Xuv 7Xo AX7T Diesel AT,"""Mahindra Xuv 7xo"" Diesel AT ARAI mileage","""Mahindra Xuv 7xo"" 182.37bhp 450nm diesel claimed mileage kmpl","""Mahindra Xuv 7xo"" Diesel AT brochure mileage","""Mahindra Xuv 7xo"" Diesel AT site:v3cars.com mileage","""Mahindra Xuv 7xo"" Diesel AT site:carwale.com mileage",,,,,,,mahindra_xuv-7xo__ax3-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax5-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7l-6str-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7l-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7l-diesel-awd-at__diesel_automatic | mahindra_xuv-7xo__ax7t-6str-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7t-diesel-at__diesel_automatic | mahindra_xuv-7xo__ax7t-diesel-awd-at__diesel_automatic
Force,Urbania,Diesel,Manual,MT,114bhp_350nm,8,Force Urbania 3350WB 10Str | Force Urbania 3350WB 11Str | Force Urbania 3615WB 10Str | Force Urbania 3615WB 13Str | Force Urbania 3615WB 14Str | Force Urbania 4400WB 13Str | Force Urbania 4400WB 14Str | Force Urbania 4400WB 17Str,"""Force Urbania"" Diesel MT ARAI mileage","""Force Urbania"" 114bhp 350nm claimed mileage kmpl","""Force Urbania"" Diesel MT brochure mileage","""Force Urbania"" Diesel MT site:v3cars.com mileage","""Force Urbania"" Diesel MT site:carwale.com mileage",,,,,,,force_urbania__3350wb-10str__diesel_manual | force_urbania__3350wb-11str__diesel_manual | force_urbania__3615wb-10str__diesel_manual | force_urbania__3615wb-13str__diesel_manual | force_urbania__3615wb-14str__diesel_manual | force_urbania__4400wb-13str__diesel_manual | force_urbania__4400wb-14str__diesel_manual | force_urbania__4400wb-17str__diesel_manual
Hyundai,Verna,Petrol,Automatic,IVT,113.18bhp_143.8nm,8,Hyundai Verna HX10 iVT | Hyundai Verna HX10 iVT DT | Hyundai Verna HX6 Plus iVT | Hyundai Verna HX6 Plus iVT DT | Hyundai Verna HX6 iVT | Hyundai Verna HX6 iVT DT | Hyundai Verna HX8 iVT | Hyundai Verna HX8 iVT DT,"""Hyundai Verna"" Petrol IVT ARAI mileage","""Hyundai Verna"" 113.18bhp 143.8nm claimed mileage kmpl","""Hyundai Verna"" Petrol IVT brochure mileage","""Hyundai Verna"" Petrol IVT site:v3cars.com mileage","""Hyundai Verna"" Petrol IVT site:carwale.com mileage",,,,,,,hyundai_verna__hx10-ivt__petrol_automatic | hyundai_verna__hx10-ivt-dt__petrol_automatic | hyundai_verna__hx6-plus-ivt__petrol_automatic | hyundai_verna__hx6-plus-ivt-dt__petrol_automatic | hyundai_verna__hx6-ivt__petrol_automatic | hyundai_verna__hx6-ivt-dt__petrol_automatic | hyundai_verna__hx8-ivt__petrol_automatic | hyundai_verna__hx8-ivt-dt__petrol_automatic
Hyundai,Verna,Petrol,Manual,MT,113.18bhp_143.8nm,8,Hyundai Verna HX2 | Hyundai Verna HX4 | Hyundai Verna HX6 | Hyundai Verna HX6 DT | Hyundai Verna HX6 Plus | Hyundai Verna HX6 Plus DT | Hyundai Verna HX8 | Hyundai Verna HX8 DT,"""Hyundai Verna"" Petrol MT ARAI mileage","""Hyundai Verna"" 113.18bhp 143.8nm claimed mileage kmpl","""Hyundai Verna"" Petrol MT brochure mileage","""Hyundai Verna"" Petrol MT site:v3cars.com mileage","""Hyundai Verna"" Petrol MT site:carwale.com mileage",,,,,,,hyundai_verna__hx2__petrol_manual | hyundai_verna__hx4__petrol_manual | hyundai_verna__hx6__petrol_manual | hyundai_verna__hx6-dt__petrol_manual | hyundai_verna__hx6-plus__petrol_manual | hyundai_verna__hx6-plus-dt__petrol_manual | hyundai_verna__hx8__petrol_manual | hyundai_verna__hx8-dt__petrol_manual
Tata,Curvv,Diesel,Automatic,AT,116bhp_260nm_diesel,8,Tata Curvv Accomplished Plus A Dark Diesel DCA | Tata Curvv Accomplished Plus A Diesel DCA | Tata Curvv Accomplished S Dark Diesel DCA | Tata Curvv Accomplished S Diesel DCA | Tata Curvv Creative Plus S Diesel DCA | Tata Curvv Creative S Diesel DCA | Tata Curvv Pure Plus Diesel DCA | Tata Curvv Pure Plus S Diesel DCA,"""Tata Curvv"" Diesel AT ARAI mileage","""Tata Curvv"" 116bhp 260nm diesel claimed mileage kmpl","""Tata Curvv"" Diesel AT brochure mileage","""Tata Curvv"" Diesel AT site:v3cars.com mileage","""Tata Curvv"" Diesel AT site:carwale.com mileage",15,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-plus-a-dark-diesel-dca__diesel_automatic | tata_curvv__accomplished-plus-a-diesel-dca__diesel_automatic | tata_curvv__accomplished-s-dark-diesel-dca__diesel_automatic | tata_curvv__accomplished-s-diesel-dca__diesel_automatic | tata_curvv__creative-plus-s-diesel-dca__diesel_automatic | tata_curvv__creative-s-diesel-dca__diesel_automatic | tata_curvv__pure-plus-diesel-dca__diesel_automatic | tata_curvv__pure-plus-s-diesel-dca__diesel_automatic
Tata,Punch,Petrol,Manual,MT,87bhp_115nm,8,Tata Punch Accomplished | Tata Punch Accomplished Plus S | Tata Punch Adventure | Tata Punch Adventure S | Tata Punch Pure | Tata Punch Pure Plus | Tata Punch Pure Plus S | Tata Punch Smart,"""Tata Punch"" Petrol MT ARAI mileage","""Tata Punch"" 87bhp 115nm claimed mileage kmpl","""Tata Punch"" Petrol MT brochure mileage","""Tata Punch"" Petrol MT site:v3cars.com mileage","""Tata Punch"" Petrol MT site:carwale.com mileage",20.09,,cardekho,https://www.cardekho.com/tata/punch-2021-2026/mileage,,,tata_punch__accomplished__petrol_manual | tata_punch__accomplished-plus-s__petrol_manual | tata_punch__adventure__petrol_manual | tata_punch__adventure-s__petrol_manual | tata_punch__pure__petrol_manual | tata_punch__pure-plus__petrol_manual | tata_punch__pure-plus-s__petrol_manual | tata_punch__smart__petrol_manual
Hyundai,Exter,Petrol,Automatic,AMT,82bhp_113.8nm,7,Hyundai Exter HX10 AMT | Hyundai Exter HX10 AMT DT | Hyundai Exter HX3 AMT | Hyundai Exter HX4 Plus AMT | Hyundai Exter HX6 AMT | Hyundai Exter HX6 AMT DT | Hyundai Exter HX8 AMT,"""Hyundai Exter"" Petrol AMT ARAI mileage","""Hyundai Exter"" 82bhp 113.8nm claimed mileage kmpl","""Hyundai Exter"" Petrol AMT brochure mileage","""Hyundai Exter"" Petrol AMT site:v3cars.com mileage","""Hyundai Exter"" Petrol AMT site:carwale.com mileage",,,,,,,hyundai_exter__hx10-amt__petrol_automatic | hyundai_exter__hx10-amt-dt__petrol_automatic | hyundai_exter__hx3-amt__petrol_automatic | hyundai_exter__hx4-plus-amt__petrol_automatic | hyundai_exter__hx6-amt__petrol_automatic | hyundai_exter__hx6-amt-dt__petrol_automatic | hyundai_exter__hx8-amt__petrol_automatic
Jeep,Meridian,Diesel,Automatic,AT,168bhp_350nm,7,Jeep Meridian Limited Opt 4x2 AT | Jeep Meridian Limited Opt 4x4 AT | Jeep Meridian Longitude 4x2 AT | Jeep Meridian Longitude Plus 4x2 AT | Jeep Meridian Overland 4x2 AT | Jeep Meridian Overland 4x4 AT | Jeep Meridian Trail Edition AT,"""Jeep Meridian"" Diesel AT ARAI mileage","""Jeep Meridian"" 168bhp 350nm claimed mileage kmpl","""Jeep Meridian"" Diesel AT brochure mileage","""Jeep Meridian"" Diesel AT site:v3cars.com mileage","""Jeep Meridian"" Diesel AT site:carwale.com mileage",,,,,,,jeep_meridian__limited-opt-4x2-at__diesel_automatic | jeep_meridian__limited-opt-4x4-at__diesel_automatic | jeep_meridian__longitude-4x2-at__diesel_automatic | jeep_meridian__longitude-plus-4x2-at__diesel_automatic | jeep_meridian__overland-4x2-at__diesel_automatic | jeep_meridian__overland-4x4-at__diesel_automatic | jeep_meridian__trail-edition-at__diesel_automatic
Kia,Seltos,Petrol,Automatic,IVT,113bhp_144nm,7,Kia Seltos GTX A iVT | Kia Seltos GTX iVT | Kia Seltos HTK Opt iVT | Kia Seltos HTX A iVT | Kia Seltos HTX iVT | Kia Seltos X-Line A iVT | Kia Seltos X-Line iVT,"""Kia Seltos"" Petrol IVT ARAI mileage","""Kia Seltos"" 113bhp 144nm claimed mileage kmpl","""Kia Seltos"" Petrol IVT brochure mileage","""Kia Seltos"" Petrol IVT site:v3cars.com mileage","""Kia Seltos"" Petrol IVT site:carwale.com mileage",17.7,,,https://www.cardekho.com/india-car-news/heres-how-fuel-efficient-the-facelifted-kia-seltos-is-31186.htm,,,kia_seltos__gtx-a-ivt__petrol_automatic | kia_seltos__gtx-ivt__petrol_automatic | kia_seltos__htk-opt-ivt__petrol_automatic | kia_seltos__htx-a-ivt__petrol_automatic | kia_seltos__htx-ivt__petrol_automatic | kia_seltos__x-line-a-ivt__petrol_automatic | kia_seltos__x-line-ivt__petrol_automatic
