mileage_google_review_grouped_engine_family,,,,,,,,,,,,,,,,,,,
make,model,fuel,transmission,transmissionSubtype,engineFamily,count,sampleVariants,googleQuery1,googleQuery2,googleQuery3,googleQuery4,googleQuery5,evidenceValue,evidenceBasis,sourceName,sourceUrl,decision,note,variantProfileKeys
Kia,Seltos,Petrol,Automatic,DCT,158bhp_253nm,7,Kia Seltos GTX A TGDi DCT | Kia Seltos GTX TGDi DCT | Kia Seltos HTK Opt TGDi DCT | Kia Seltos HTX A TGDi DCT | Kia Seltos HTX TGDi DCT | Kia Seltos X-Line A TGDi DCT | Kia Seltos X-Line TGDi DCT,"""Kia Seltos"" Petrol DCT ARAI mileage","""Kia Seltos"" 158bhp 253nm claimed mileage kmpl","""Kia Seltos"" Petrol DCT brochure mileage","""Kia Seltos"" Petrol DCT site:v3cars.com mileage","""Kia Seltos"" Petrol DCT site:carwale.com mileage",17.9,,,https://www.cardekho.com/india-car-news/heres-how-fuel-efficient-the-facelifted-kia-seltos-is-31186.htm,,,kia_seltos__gtx-a-tgdi-dct__petrol_automatic | kia_seltos__gtx-tgdi-dct__petrol_automatic | kia_seltos__htk-opt-tgdi-dct__petrol_automatic | kia_seltos__htx-a-tgdi-dct__petrol_automatic | kia_seltos__htx-tgdi-dct__petrol_automatic | kia_seltos__x-line-a-tgdi-dct__petrol_automatic | kia_seltos__x-line-tgdi-dct__petrol_automatic
Mahindra,Xuv 7xo,Diesel,Manual,MT,182.37bhp_420nm_diesel,7,Mahindra Xuv 7Xo AX Diesel | Mahindra Xuv 7Xo AX3 Diesel | Mahindra Xuv 7Xo AX5 Diesel | Mahindra Xuv 7Xo AX7 Diesel | Mahindra Xuv 7Xo AX7L Diesel | Mahindra Xuv 7Xo AX7T 6Str Diesel | Mahindra Xuv 7Xo AX7T Diesel,"""Mahindra Xuv 7xo"" Diesel MT ARAI mileage","""Mahindra Xuv 7xo"" 182.37bhp 420nm diesel claimed mileage kmpl","""Mahindra Xuv 7xo"" Diesel MT brochure mileage","""Mahindra Xuv 7xo"" Diesel MT site:v3cars.com mileage","""Mahindra Xuv 7xo"" Diesel MT site:carwale.com mileage",,,,,,,mahindra_xuv-7xo__ax-diesel__diesel_manual | mahindra_xuv-7xo__ax3-diesel__diesel_manual | mahindra_xuv-7xo__ax5-diesel__diesel_manual | mahindra_xuv-7xo__ax7-diesel__diesel_manual | mahindra_xuv-7xo__ax7l-diesel__diesel_manual | mahindra_xuv-7xo__ax7t-6str-diesel__diesel_manual | mahindra_xuv-7xo__ax7t-diesel__diesel_manual
Mahindra,Xuv 7xo,Petrol,Automatic,AT,200bhp_380nm,7,Mahindra Xuv 7Xo AX3 AT | Mahindra Xuv 7Xo AX5 AT | Mahindra Xuv 7Xo AX7 AT | Mahindra Xuv 7Xo AX7L 6Str AT | Mahindra Xuv 7Xo AX7L AT | Mahindra Xuv 7Xo AX7T 6Str AT | Mahindra Xuv 7Xo AX7T AT,"""Mahindra Xuv 7xo"" Petrol AT ARAI mileage","""Mahindra Xuv 7xo"" 200bhp 380nm claimed mileage kmpl","""Mahindra Xuv 7xo"" Petrol AT brochure mileage","""Mahindra Xuv 7xo"" Petrol AT site:v3cars.com mileage","""Mahindra Xuv 7xo"" Petrol AT site:carwale.com mileage",,,,,,,mahindra_xuv-7xo__ax3-at__petrol_automatic | mahindra_xuv-7xo__ax5-at__petrol_automatic | mahindra_xuv-7xo__ax7-at__petrol_automatic | mahindra_xuv-7xo__ax7l-6str-at__petrol_automatic | mahindra_xuv-7xo__ax7l-at__petrol_automatic | mahindra_xuv-7xo__ax7t-6str-at__petrol_automatic | mahindra_xuv-7xo__ax7t-at__petrol_automatic
Tata,Curvv,Petrol,Manual,MT,118bhp_170nm,7,Tata Curvv Accomplished S | Tata Curvv Creative | Tata Curvv Creative Plus S | Tata Curvv Creative S | Tata Curvv Pure Plus | Tata Curvv Pure Plus S | Tata Curvv Smart,"""Tata Curvv"" Petrol MT ARAI mileage","""Tata Curvv"" 118bhp 170nm claimed mileage kmpl","""Tata Curvv"" Petrol MT brochure mileage","""Tata Curvv"" Petrol MT site:v3cars.com mileage","""Tata Curvv"" Petrol MT site:carwale.com mileage",14,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-s__petrol_manual | tata_curvv__creative__petrol_manual | tata_curvv__creative-plus-s__petrol_manual | tata_curvv__creative-s__petrol_manual | tata_curvv__pure-plus__petrol_manual | tata_curvv__pure-plus-s__petrol_manual | tata_curvv__smart__petrol_manual
Tata,Punch,Cng,Manual,MT,72bhp_103nm_cng,7,Tata Punch Accomplished CNG | Tata Punch Adventure CNG | Tata Punch Adventure S CNG | Tata Punch Pure CNG | Tata Punch Pure Plus CNG | Tata Punch Pure Plus S CNG | Tata Punch Smart CNG,"""Tata Punch"" Cng MT ARAI mileage","""Tata Punch"" 72bhp 103nm cng claimed mileage kmpl","""Tata Punch"" Cng MT brochure mileage","""Tata Punch"" Cng MT site:v3cars.com mileage","""Tata Punch"" Cng MT site:carwale.com mileage",26.99,,cardekho,https://www.cardekho.com/tata/punch-2021-2026/mileage,,,tata_punch__accomplished-cng__cng_manual | tata_punch__adventure-cng__cng_manual | tata_punch__adventure-s-cng__cng_manual | tata_punch__pure-cng__cng_manual | tata_punch__pure-plus-cng__cng_manual | tata_punch__pure-plus-s-cng__cng_manual | tata_punch__smart-cng__cng_manual
Tata,Sierra,Diesel,Manual,MT,116bhp_260nm_diesel,7,Tata Sierra Accomplished Diesel | Tata Sierra Accomplished Plus Diesel | Tata Sierra Adventure Diesel | Tata Sierra Adventure Plus Diesel | Tata Sierra Pure Diesel | Tata Sierra Pure Plus Diesel | Tata Sierra Smart Plus Diesel,"""Tata Sierra"" Diesel MT ARAI mileage","""Tata Sierra"" 116bhp 260nm diesel claimed mileage kmpl","""Tata Sierra"" Diesel MT brochure mileage","""Tata Sierra"" Diesel MT site:v3cars.com mileage","""Tata Sierra"" Diesel MT site:carwale.com mileage",21.26,,,https://www.carwale.com/tata-cars/sierra/,,,tata_sierra__accomplished-diesel__diesel_manual | tata_sierra__accomplished-plus-diesel__diesel_manual | tata_sierra__adventure-diesel__diesel_manual | tata_sierra__adventure-plus-diesel__diesel_manual | tata_sierra__pure-diesel__diesel_manual | tata_sierra__pure-plus-diesel__diesel_manual | tata_sierra__smart-plus-diesel__diesel_manual
Hyundai,Exter,Cng,Manual,MT,68bhp_95.2nm_cng,6,Hyundai Exter HX2 CNG | Hyundai Exter HX3 CNG | Hyundai Exter HX4 CNG | Hyundai Exter HX6 CNG | Hyundai Exter HX6 CNG DT | Hyundai Exter HX8 CNG,"""Hyundai Exter"" Cng MT ARAI mileage","""Hyundai Exter"" 68bhp 95.2nm cng claimed mileage kmpl","""Hyundai Exter"" Cng MT brochure mileage","""Hyundai Exter"" Cng MT site:v3cars.com mileage","""Hyundai Exter"" Cng MT site:carwale.com mileage",,,,,,,hyundai_exter__hx2-cng__cng_manual | hyundai_exter__hx3-cng__cng_manual | hyundai_exter__hx4-cng__cng_manual | hyundai_exter__hx6-cng__cng_manual | hyundai_exter__hx6-cng-dt__cng_manual | hyundai_exter__hx8-cng__cng_manual
Hyundai,Exter,Petrol,Manual,MT,82bhp_113.8nm,6,Hyundai Exter HX2 | Hyundai Exter HX3 | Hyundai Exter HX4 | Hyundai Exter HX6 | Hyundai Exter HX6 DT | Hyundai Exter HX8,"""Hyundai Exter"" Petrol MT ARAI mileage","""Hyundai Exter"" 82bhp 113.8nm claimed mileage kmpl","""Hyundai Exter"" Petrol MT brochure mileage","""Hyundai Exter"" Petrol MT site:v3cars.com mileage","""Hyundai Exter"" Petrol MT site:carwale.com mileage",,,,,,,hyundai_exter__hx2__petrol_manual | hyundai_exter__hx3__petrol_manual | hyundai_exter__hx4__petrol_manual | hyundai_exter__hx6__petrol_manual | hyundai_exter__hx6-dt__petrol_manual | hyundai_exter__hx8__petrol_manual
Kia,Seltos,Diesel,Manual,MT,114bhp_250nm_diesel,6,Kia Seltos HTE Diesel | Kia Seltos HTE Opt Diesel | Kia Seltos HTK Diesel | Kia Seltos HTK Opt Diesel | Kia Seltos HTX A Diesel | Kia Seltos HTX Diesel,"""Kia Seltos"" Diesel MT ARAI mileage","""Kia Seltos"" 114bhp 250nm diesel claimed mileage kmpl","""Kia Seltos"" Diesel MT brochure mileage","""Kia Seltos"" Diesel MT site:v3cars.com mileage","""Kia Seltos"" Diesel MT site:carwale.com mileage",20.7,,,https://www.cardekho.com/india-car-news/heres-how-fuel-efficient-the-facelifted-kia-seltos-is-31186.htm,,,kia_seltos__hte-diesel__diesel_manual | kia_seltos__hte-opt-diesel__diesel_manual | kia_seltos__htk-diesel__diesel_manual | kia_seltos__htk-opt-diesel__diesel_manual | kia_seltos__htx-a-diesel__diesel_manual | kia_seltos__htx-diesel__diesel_manual
Mini,Cooper S,Petrol,Automatic,AT,201bhp_300nm,6,Mini Cooper S Classic Pack | Mini Cooper S Favoured Pack | Mini Cooper S GP Inspired Edition | Mini Cooper S JCW Pack | Mini Cooper S STD | Mini Cooper S Victory Edition,"""Mini Cooper S"" Petrol AT ARAI mileage","""Mini Cooper S"" 201bhp 300nm claimed mileage kmpl","""Mini Cooper S"" Petrol AT brochure mileage","""Mini Cooper S"" Petrol AT site:v3cars.com mileage","""Mini Cooper S"" Petrol AT site:carwale.com mileage",,,,,,,mini_cooper-s__classic-pack__petrol_automatic | mini_cooper-s__favoured-pack__petrol_automatic | mini_cooper-s__gp-inspired-edition__petrol_automatic | mini_cooper-s__jcw-pack__petrol_automatic | mini_cooper-s__std__petrol_automatic | mini_cooper-s__victory-edition__petrol_automatic
Tata,Altroz,Cng,Manual,MT,72.49bhp_103nm_cng,6,Tata Altroz Accomplished S CNG | Tata Altroz Creative CNG | Tata Altroz Creative S CNG | Tata Altroz Pure CNG | Tata Altroz Pure S CNG | Tata Altroz Smart CNG,"""Tata Altroz"" Cng MT ARAI mileage","""Tata Altroz"" 72.49bhp 103nm cng claimed mileage kmpl","""Tata Altroz"" Cng MT brochure mileage","""Tata Altroz"" Cng MT site:v3cars.com mileage","""Tata Altroz"" Cng MT site:carwale.com mileage",26.2,,,,,,tata_altroz__accomplished-s-cng__cng_manual | tata_altroz__creative-cng__cng_manual | tata_altroz__creative-s-cng__cng_manual | tata_altroz__pure-cng__cng_manual | tata_altroz__pure-s-cng__cng_manual | tata_altroz__smart-cng__cng_manual
Tata,Altroz,Petrol,Manual,MT,86.79bhp_115nm,6,Tata Altroz Accomplished S | Tata Altroz Creative | Tata Altroz Creative S | Tata Altroz Pure | Tata Altroz Pure S | Tata Altroz Smart,"""Tata Altroz"" Petrol MT ARAI mileage","""Tata Altroz"" 86.79bhp 115nm claimed mileage kmpl","""Tata Altroz"" Petrol MT brochure mileage","""Tata Altroz"" Petrol MT site:v3cars.com mileage","""Tata Altroz"" Petrol MT site:carwale.com mileage",,,,,,,tata_altroz__accomplished-s__petrol_manual | tata_altroz__creative__petrol_manual | tata_altroz__creative-s__petrol_manual | tata_altroz__pure__petrol_manual | tata_altroz__pure-s__petrol_manual | tata_altroz__smart__petrol_manual
Tata,Curvv,Petrol,Automatic,AT,118bhp_170nm,6,Tata Curvv Accomplished S DCA | Tata Curvv Creative DCA | Tata Curvv Creative Plus S DCA | Tata Curvv Creative S DCA | Tata Curvv Pure Plus DCA | Tata Curvv Pure Plus S DCA,"""Tata Curvv"" Petrol AT ARAI mileage","""Tata Curvv"" 118bhp 170nm claimed mileage kmpl","""Tata Curvv"" Petrol AT brochure mileage","""Tata Curvv"" Petrol AT site:v3cars.com mileage","""Tata Curvv"" Petrol AT site:carwale.com mileage",13,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-s-dca__petrol_automatic | tata_curvv__creative-dca__petrol_automatic | tata_curvv__creative-plus-s-dca__petrol_automatic | tata_curvv__creative-s-dca__petrol_automatic | tata_curvv__pure-plus-dca__petrol_automatic | tata_curvv__pure-plus-s-dca__petrol_automatic
Tata,Curvv,Petrol,Manual,MT,123bhp_225nm,6,Tata Curvv Accomplished Plus A Hyperion | Tata Curvv Accomplished Plus A Hyperion Dark | Tata Curvv Accomplished S Hyperion | Tata Curvv Accomplished S Hyperion Dark | Tata Curvv Creative Plus S Hyperion | Tata Curvv Creative S Hyperion,"""Tata Curvv"" Petrol MT ARAI mileage","""Tata Curvv"" 123bhp 225nm claimed mileage kmpl","""Tata Curvv"" Petrol MT brochure mileage","""Tata Curvv"" Petrol MT site:v3cars.com mileage","""Tata Curvv"" Petrol MT site:carwale.com mileage",14,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-plus-a-hyperion__petrol_manual | tata_curvv__accomplished-plus-a-hyperion-dark__petrol_manual | tata_curvv__accomplished-s-hyperion__petrol_manual | tata_curvv__accomplished-s-hyperion-dark__petrol_manual | tata_curvv__creative-plus-s-hyperion__petrol_manual | tata_curvv__creative-s-hyperion__petrol_manual
Tata,Sierra,Petrol,Manual,MT,105bhp_145nm,6,Tata Sierra Accomplished | Tata Sierra Adventure | Tata Sierra Adventure Plus | Tata Sierra Pure | Tata Sierra Pure Plus | Tata Sierra Smart Plus,"""Tata Sierra"" Petrol MT ARAI mileage","""Tata Sierra"" 105bhp 145nm claimed mileage kmpl","""Tata Sierra"" Petrol MT brochure mileage","""Tata Sierra"" Petrol MT site:v3cars.com mileage","""Tata Sierra"" Petrol MT site:carwale.com mileage",17.4,,,https://www.carwale.com/tata-cars/sierra/,,,tata_sierra__accomplished__petrol_manual | tata_sierra__adventure__petrol_manual | tata_sierra__adventure-plus__petrol_manual | tata_sierra__pure__petrol_manual | tata_sierra__pure-plus__petrol_manual | tata_sierra__smart-plus__petrol_manual
Tata,Tiago,Petrol,Manual,MT,85bhp_113nm,6,Tata Tiago Creative | Tata Tiago Creative Plus | Tata Tiago Pure | Tata Tiago Pure Plus | Tata Tiago Pure Plus A | Tata Tiago Smart,"""Tata Tiago"" Petrol MT ARAI mileage","""Tata Tiago"" 85bhp 113nm claimed mileage kmpl","""Tata Tiago"" Petrol MT brochure mileage","""Tata Tiago"" Petrol MT site:v3cars.com mileage","""Tata Tiago"" Petrol MT site:carwale.com mileage",20.09,,,https://www.bajajfinserv.in/tata-tiago-mileage,,,tata_tiago__creative__petrol_manual | tata_tiago__creative-plus__petrol_manual | tata_tiago__pure__petrol_manual | tata_tiago__pure-plus__petrol_manual | tata_tiago__pure-plus-a__petrol_manual | tata_tiago__smart__petrol_manual
Isuzu,D Max,Diesel,Manual,MT,77.77bhp_176nm,5,Isuzu D Max D-Max CBC HR 2.0 | Isuzu D Max D-Max Flat Deck HR | Isuzu D Max D-Max Flat Deck HR 2.0 | Isuzu D Max D-Max Flat Deck HR AC 1.2 | Isuzu D Max D-Max Flat Deck HR AC 2.0,"""Isuzu D Max"" Diesel MT ARAI mileage","""Isuzu D Max"" 77.77bhp 176nm claimed mileage kmpl","""Isuzu D Max"" Diesel MT brochure mileage","""Isuzu D Max"" Diesel MT site:v3cars.com mileage","""Isuzu D Max"" Diesel MT site:carwale.com mileage",,,,,,,isuzu_d-max__d-max-cbc-hr-2-0__diesel_manual | isuzu_d-max__d-max-flat-deck-hr__diesel_manual | isuzu_d-max__d-max-flat-deck-hr-2-0__diesel_manual | isuzu_d-max__d-max-flat-deck-hr-ac-1-2__diesel_manual | isuzu_d-max__d-max-flat-deck-hr-ac-2-0__diesel_manual
Kia,Seltos,Petrol,Manual,MT,113bhp_144nm,5,Kia Seltos HTE | Kia Seltos HTE Opt | Kia Seltos HTK | Kia Seltos HTX | Kia Seltos HTX A,"""Kia Seltos"" Petrol MT ARAI mileage","""Kia Seltos"" 113bhp 144nm claimed mileage kmpl","""Kia Seltos"" Petrol MT brochure mileage","""Kia Seltos"" Petrol MT site:v3cars.com mileage","""Kia Seltos"" Petrol MT site:carwale.com mileage",17,,,https://www.cardekho.com/india-car-news/heres-how-fuel-efficient-the-facelifted-kia-seltos-is-31186.htm,,,kia_seltos__hte__petrol_manual | kia_seltos__hte-opt__petrol_manual | kia_seltos__htk__petrol_manual | kia_seltos__htx__petrol_manual | kia_seltos__htx-a__petrol_manual
Mahindra,Xuv 3xo,Diesel,Manual,MT,115.05bhp_300nm_diesel,5,Mahindra Xuv 3Xo AX7 L Diesel | Mahindra Xuv 3Xo MX2 Pro Diesel | Mahindra Xuv 3Xo MX2 diesel | Mahindra Xuv 3Xo MX3 Diesel | Mahindra Xuv 3Xo MX3 Pro Diesel,"""Mahindra Xuv 3xo"" Diesel MT ARAI mileage","""Mahindra Xuv 3xo"" 115.05bhp 300nm diesel claimed mileage kmpl","""Mahindra Xuv 3xo"" Diesel MT brochure mileage","""Mahindra Xuv 3xo"" Diesel MT site:v3cars.com mileage","""Mahindra Xuv 3xo"" Diesel MT site:carwale.com mileage",,,,,,,mahindra_xuv-3xo__ax7-l-diesel__diesel_manual | mahindra_xuv-3xo__mx2-pro-diesel__diesel_manual | mahindra_xuv-3xo__mx2-diesel__diesel_manual | mahindra_xuv-3xo__mx3-diesel__diesel_manual | mahindra_xuv-3xo__mx3-pro-diesel__diesel_manual
Mg,Gloster,Diesel,Automatic,AT,158.79bhp_373.5nm,5,Mg Gloster Black Storm 4x2 6Str | Mg Gloster Black Storm 4x2 7Str | Mg Gloster Savvy 4x2 6Str | Mg Gloster Savvy 4x2 7Str | Mg Gloster Sharp 4x2 7Str,"""Mg Gloster"" Diesel AT ARAI mileage","""Mg Gloster"" 158.79bhp 373.5nm claimed mileage kmpl","""Mg Gloster"" Diesel AT brochure mileage","""Mg Gloster"" Diesel AT site:v3cars.com mileage","""Mg Gloster"" Diesel AT site:carwale.com mileage",,,,,,,mg_gloster__black-storm-4x2-6str__diesel_automatic | mg_gloster__black-storm-4x2-7str__diesel_automatic | mg_gloster__savvy-4x2-6str__diesel_automatic | mg_gloster__savvy-4x2-7str__diesel_automatic | mg_gloster__sharp-4x2-7str__diesel_automatic
Tata,Altroz,Cng,Automatic,AMT,72.49bhp_103nm_cng,5,Tata Altroz Accomplished S AMT CNG | Tata Altroz Creative AMT CNG | Tata Altroz Creative S AMT CNG | Tata Altroz Pure AMT CNG | Tata Altroz Pure S AMT CNG,"""Tata Altroz"" Cng AMT ARAI mileage","""Tata Altroz"" 72.49bhp 103nm cng claimed mileage kmpl","""Tata Altroz"" Cng AMT brochure mileage","""Tata Altroz"" Cng AMT site:v3cars.com mileage","""Tata Altroz"" Cng AMT site:carwale.com mileage",26.2,,,,,,tata_altroz__accomplished-s-amt-cng__cng_automatic | tata_altroz__creative-amt-cng__cng_automatic | tata_altroz__creative-s-amt-cng__cng_automatic | tata_altroz__pure-amt-cng__cng_automatic | tata_altroz__pure-s-amt-cng__cng_automatic
Tata,Curvv,Petrol,Automatic,AT,123bhp_225nm,5,Tata Curvv Accomplished Plus A Hyperion DCA | Tata Curvv Accomplished Plus A Hyperion Dark DCA | Tata Curvv Accomplished S Hyperion DCA | Tata Curvv Accomplished S Hyperion Dark DCA | Tata Curvv Creative Plus S Hyperion DCA,"""Tata Curvv"" Petrol AT ARAI mileage","""Tata Curvv"" 123bhp 225nm claimed mileage kmpl","""Tata Curvv"" Petrol AT brochure mileage","""Tata Curvv"" Petrol AT site:v3cars.com mileage","""Tata Curvv"" Petrol AT site:carwale.com mileage",13,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-plus-a-hyperion-dca__petrol_automatic | tata_curvv__accomplished-plus-a-hyperion-dark-dca__petrol_automatic | tata_curvv__accomplished-s-hyperion-dca__petrol_automatic | tata_curvv__accomplished-s-hyperion-dark-dca__petrol_automatic | tata_curvv__creative-plus-s-hyperion-dca__petrol_automatic
Tata,Punch,Petrol,Automatic,AMT,87bhp_115nm,5,Tata Punch Accomplished AMT | Tata Punch Accomplished Plus S AMT | Tata Punch Adventure AMT | Tata Punch Pure Plus AMT | Tata Punch Pure Plus S AMT,"""Tata Punch"" Petrol AMT ARAI mileage","""Tata Punch"" 87bhp 115nm claimed mileage kmpl","""Tata Punch"" Petrol AMT brochure mileage","""Tata Punch"" Petrol AMT site:v3cars.com mileage","""Tata Punch"" Petrol AMT site:carwale.com mileage",18.8,,cardekho,https://www.cardekho.com/tata/punch-2021-2026/mileage,,,tata_punch__accomplished-amt__petrol_automatic | tata_punch__accomplished-plus-s-amt__petrol_automatic | tata_punch__adventure-amt__petrol_automatic | tata_punch__pure-plus-amt__petrol_automatic | tata_punch__pure-plus-s-amt__petrol_automatic
Tata,Sierra,Diesel,Automatic,AT,116bhp_280nm_diesel,5,Tata Sierra Accomplished Diesel AT | Tata Sierra Accomplished Plus Diesel AT | Tata Sierra Adventure Plus Diesel AT | Tata Sierra Pure Diesel AT | Tata Sierra Pure Plus Diesel AT,"""Tata Sierra"" Diesel AT ARAI mileage","""Tata Sierra"" 116bhp 280nm diesel claimed mileage kmpl","""Tata Sierra"" Diesel AT brochure mileage","""Tata Sierra"" Diesel AT site:v3cars.com mileage","""Tata Sierra"" Diesel AT site:carwale.com mileage",19.22,,,https://www.carwale.com/tata-cars/sierra/,,,tata_sierra__accomplished-diesel-at__diesel_automatic | tata_sierra__accomplished-plus-diesel-at__diesel_automatic | tata_sierra__adventure-plus-diesel-at__diesel_automatic | tata_sierra__pure-diesel-at__diesel_automatic | tata_sierra__pure-plus-diesel-at__diesel_automatic
Tata,Tiago,Cng,Manual,MT,74.46bhp_96.5nm_cng,5,Tata Tiago Creative CNG | Tata Tiago Pure CNG | Tata Tiago Pure Plus A CNG | Tata Tiago Pure Plus CNG | Tata Tiago Smart CNG,"""Tata Tiago"" Cng MT ARAI mileage","""Tata Tiago"" 74.46bhp 96.5nm cng claimed mileage kmpl","""Tata Tiago"" Cng MT brochure mileage","""Tata Tiago"" Cng MT site:v3cars.com mileage","""Tata Tiago"" Cng MT site:carwale.com mileage",26.49,,,https://www.bajajfinserv.in/tata-tiago-mileage,,,tata_tiago__creative-cng__cng_manual | tata_tiago__pure-cng__cng_manual | tata_tiago__pure-plus-a-cng__cng_manual | tata_tiago__pure-plus-cng__cng_manual | tata_tiago__smart-cng__cng_manual
Tata,Tiago,Petrol,Automatic,AMT,85bhp_113nm,5,Tata Tiago Creative AMT | Tata Tiago Creative Plus AMT | Tata Tiago Pure AMT | Tata Tiago Pure Plus A AMT | Tata Tiago Pure Plus AMT,"""Tata Tiago"" Petrol AMT ARAI mileage","""Tata Tiago"" 85bhp 113nm claimed mileage kmpl","""Tata Tiago"" Petrol AMT brochure mileage","""Tata Tiago"" Petrol AMT site:v3cars.com mileage","""Tata Tiago"" Petrol AMT site:carwale.com mileage",19,,,https://www.bajajfinserv.in/tata-tiago-mileage,,,tata_tiago__creative-amt__petrol_automatic | tata_tiago__creative-plus-amt__petrol_automatic | tata_tiago__pure-amt__petrol_automatic | tata_tiago__pure-plus-a-amt__petrol_automatic | tata_tiago__pure-plus-amt__petrol_automatic
Bentley,Bentayga,Petrol,Automatic,AT,542bhp_770nm,4,Bentley Bentayga EWB | Bentley Bentayga EWB Azure FIRST EDITION | Bentley Bentayga S | Bentley Bentayga V8,"""Bentley Bentayga"" Petrol AT ARAI mileage","""Bentley Bentayga"" 542bhp 770nm claimed mileage kmpl","""Bentley Bentayga"" Petrol AT brochure mileage","""Bentley Bentayga"" Petrol AT site:v3cars.com mileage","""Bentley Bentayga"" Petrol AT site:carwale.com mileage",,,,,,,bentley_bentayga__ewb__petrol_automatic | bentley_bentayga__ewb-azure-first-edition__petrol_automatic | bentley_bentayga__s__petrol_automatic | bentley_bentayga__v8__petrol_automatic
Hyundai,Verna,Petrol,Automatic,DCT,157.57bhp_253nm_turbo,4,Hyundai Verna HX10 Turbo DCT | Hyundai Verna HX10 Turbo DCT DT | Hyundai Verna HX8 Turbo DCT | Hyundai Verna HX8 Turbo DCT DT,"""Hyundai Verna"" Petrol DCT ARAI mileage","""Hyundai Verna"" 157.57bhp 253nm turbo claimed mileage kmpl","""Hyundai Verna"" Petrol DCT brochure mileage","""Hyundai Verna"" Petrol DCT site:v3cars.com mileage","""Hyundai Verna"" Petrol DCT site:carwale.com mileage",,,,,,,hyundai_verna__hx10-turbo-dct__petrol_automatic | hyundai_verna__hx10-turbo-dct-dt__petrol_automatic | hyundai_verna__hx8-turbo-dct__petrol_automatic | hyundai_verna__hx8-turbo-dct-dt__petrol_automatic
Kia,Syros,Diesel,Automatic,AT,114bhp_250nm_diesel,4,Kia Syros HTK Plus Diesel AT | Kia Syros HTK Plus Opt Diesel AT | Kia Syros HTX Diesel AT | Kia Syros HTX Opt Diesel AT,"""Kia Syros"" Diesel AT ARAI mileage","""Kia Syros"" 114bhp 250nm diesel claimed mileage kmpl","""Kia Syros"" Diesel AT brochure mileage","""Kia Syros"" Diesel AT site:v3cars.com mileage","""Kia Syros"" Diesel AT site:carwale.com mileage",20.75,,,https://www.autocarindia.com/cars/kia/syros/mileage,,,kia_syros__htk-plus-diesel-at__diesel_automatic | kia_syros__htk-plus-opt-diesel-at__diesel_automatic | kia_syros__htx-diesel-at__diesel_automatic | kia_syros__htx-opt-diesel-at__diesel_automatic
Mahindra,Xuv 7xo,Petrol,Manual,MT,200bhp_380nm,4,Mahindra Xuv 7Xo AX | Mahindra Xuv 7Xo AX3 | Mahindra Xuv 7Xo AX5 | Mahindra Xuv 7Xo AX7,"""Mahindra Xuv 7xo"" Petrol MT ARAI mileage","""Mahindra Xuv 7xo"" 200bhp 380nm claimed mileage kmpl","""Mahindra Xuv 7xo"" Petrol MT brochure mileage","""Mahindra Xuv 7xo"" Petrol MT site:v3cars.com mileage","""Mahindra Xuv 7xo"" Petrol MT site:carwale.com mileage",,,,,,,mahindra_xuv-7xo__ax__petrol_manual | mahindra_xuv-7xo__ax3__petrol_manual | mahindra_xuv-7xo__ax5__petrol_manual | mahindra_xuv-7xo__ax7__petrol_manual
Maruti,Brezza,Cng,Manual,MT,86.63bhp_121.5nm_cng,4,Maruti Brezza Lxi CNG | Maruti Brezza Vxi CNG | Maruti Brezza Zxi CNG | Maruti Brezza Zxi CNG DT,"""Maruti Brezza"" Cng MT ARAI mileage","""Maruti Brezza"" 86.63bhp 121.5nm cng claimed mileage kmpl","""Maruti Brezza"" Cng MT brochure mileage","""Maruti Brezza"" Cng MT site:v3cars.com mileage","""Maruti Brezza"" Cng MT site:carwale.com mileage",,,,,,,maruti_brezza__lxi-cng__cng_manual | maruti_brezza__vxi-cng__cng_manual | maruti_brezza__zxi-cng__cng_manual | maruti_brezza__zxi-cng-dt__cng_manual
Mg,Gloster,Diesel,Automatic,AT,212.55bhp_478.5nm,4,Mg Gloster Black Storm 4x4 6Str | Mg Gloster Black Storm 4x4 7Str | Mg Gloster Savvy 4x4 6Str | Mg Gloster Savvy 4x4 7Str,"""Mg Gloster"" Diesel AT ARAI mileage","""Mg Gloster"" 212.55bhp 478.5nm claimed mileage kmpl","""Mg Gloster"" Diesel AT brochure mileage","""Mg Gloster"" Diesel AT site:v3cars.com mileage","""Mg Gloster"" Diesel AT site:carwale.com mileage",,,,,,,mg_gloster__black-storm-4x4-6str__diesel_automatic | mg_gloster__black-storm-4x4-7str__diesel_automatic | mg_gloster__savvy-4x4-6str__diesel_automatic | mg_gloster__savvy-4x4-7str__diesel_automatic
