make,model,variant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Hyundai,Santro Xing,Non-AC,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Sonata Transform,2.0 CRDi M/T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Sonata Transform,2.4 VTVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.5 CRDi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.5 CRDi Audio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.5 SX AT CRDi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.5 SX CRDi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.6 SX VTVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.6 VTVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai,Verna Transform,1.6 VTVT Audio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,XJ L,2.0 Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,XJ L,3.0 Diesel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,XJ L,3.0 Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,XJ L,5.0 Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,XJ L,5.0 Petrol SC Supersport,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Land Rover,Discovery 4,3.0 TDV6 HSE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Land Rover,Freelander 2,HSE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Land Rover,Freelander 2,S,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Land Rover,Freelander 2,SE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Mahindra,XUV500,W6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Mahindra,XUV500,W6 2013,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mahindra,XUV500,W8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Mahindra,XUV500,W8 2013,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mahindra,XUV500,W8 AWD,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Maruti Suzuki,A-Star,Lxi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
